60,0.75,3,500,13
0,14,293337
1,13,385264
2,13,64412
3,13,61949
4,13,185132
5,13,35347
6,13,87511
7,14,40353
8,13,127882
9,13,429774
10,13,179908
11,13,20696
12,13,189403
13,13,68345
14,13,16546
15,13,9559
16,14,85581
17,13,107847
18,14,662036
19,13,256785
20,14,23152
21,14,272456
22,13,626543
23,13,81585
24,13,69140
25,13,35072
26,13,224767
27,13,10949
28,13,73155
29,13,47825
30,14,20898
31,13,135265
32,15,20958
33,13,41257
34,13,128558
35,14,48947
36,13,57367
37,14,19199
38,13,85103
39,13,109974
40,15,29762
41,13,38600
42,13,279336
43,13,13298
44,13,155953
45,13,67575
46,13,84432
47,14,198340
48,13,46884
49,14,73665
50,13,239233
51,13,168348
52,15,239558
53,14,325978
54,14,48880
55,13,172451
56,13,125322
57,14,111192
58,13,1271144
59,13,265311
60,14,559464
61,14,667495
62,13,291129
63,13,87237
64,14,51857
65,13,23478
66,13,11780
67,14,331375
68,13,86453
69,13,154836
70,13,304328
71,16,73729
72,15,830097
73,13,110454
74,15,284908
75,13,24071
76,14,21899
77,13,119505
78,14,16561
79,13,150407
80,13,160326
81,15,829110
82,13,291303
83,14,520301
84,13,209695
85,13,143671
86,15,219953
87,13,1128751
88,14,113167
89,14,626207
90,13,31011
91,13,46488
92,14,100756
93,14,54941
94,13,94912
95,13,58398
96,14,21788
97,13,311825
98,13,62685
99,13,76182
100,13,82182
101,14,56718
102,13,39074
103,14,252768
104,13,46245
105,13,83403
106,13,22860
107,14,16982
108,13,35823
109,13,252614
110,13,98351
111,13,112714
112,13,640385
113,13,292059
114,13,489837
115,14,304574
116,13,386192
117,13,102454
118,14,565712
119,13,765315
120,13,522343
121,13,42034
122,14,336126
123,13,135807
124,14,78006
125,13,68433
126,16,73804
127,13,65794
128,13,72868
129,14,16293
130,13,336395
131,14,54609
132,15,26105
133,13,76474
134,14,87247
135,15,119950
136,13,85431
137,14,32453
138,13,109578
139,13,297511
140,13,378476
141,13,27153
142,14,80763
143,13,130442
144,14,102605
145,14,267212
146,14,125338
147,15,171451
148,13,31898
149,13,279981
150,16,177758
151,14,182749
152,13,99555
153,13,32804
154,13,20852
155,14,46325
156,13,298590
157,13,204054
